datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,CO,0.25
2022-05-13T00:00:00+03:00,PM10,
2022-05-13T00:00:00+03:00,NO,0.002
2022-05-13T00:00:00+03:00,NO2,0.013
2022-05-13T00:00:00+03:00,PM2.5,
2022-05-14T00:00:00+03:00,PM10,
2022-05-14T00:00:00+03:00,NO,0.002
2022-05-14T00:00:00+03:00,CO,0.18
2022-05-14T00:00:00+03:00,PM2.5,
2022-05-14T00:00:00+03:00,NO2,0.017
2022-05-15T00:00:00+03:00,CO,0.11
2022-05-15T00:00:00+03:00,NO2,0.021
2022-05-15T00:00:00+03:00,PM10,
2022-05-15T00:00:00+03:00,PM2.5,
2022-05-15T00:00:00+03:00,NO,0.002
2022-05-16T00:00:00+03:00,NO,0.002
2022-05-16T00:00:00+03:00,PM10,
2022-05-16T00:00:00+03:00,PM2.5,
2022-05-16T00:00:00+03:00,CO,0.2
2022-05-16T00:00:00+03:00,NO2,0.016
2022-05-17T00:00:00+03:00,CO,0.27
2022-05-17T00:00:00+03:00,PM10,
2022-05-17T00:00:00+03:00,NO,0.003
2022-05-17T00:00:00+03:00,NO2,0.017
2022-05-17T00:00:00+03:00,PM2.5,
2022-05-18T00:00:00+03:00,NO2,0.015
2022-05-18T00:00:00+03:00,PM10,
2022-05-18T00:00:00+03:00,CO,0.07
2022-05-18T00:00:00+03:00,PM2.5,
2022-05-18T00:00:00+03:00,NO,0.003
2022-05-19T00:00:00+03:00,PM10,
2022-05-19T00:00:00+03:00,CO,0.18
2022-05-19T00:00:00+03:00,PM2.5,
2022-05-19T00:00:00+03:00,NO,0.004
2022-05-19T00:00:00+03:00,NO2,0.026
2022-05-20T00:00:00+03:00,PM2.5,
2022-05-20T00:00:00+03:00,CO,0.3
2022-05-20T00:00:00+03:00,NO2,0.022
2022-05-20T00:00:00+03:00,PM10,
2022-05-20T00:00:00+03:00,NO,0.002
2022-05-21T00:00:00+03:00,PM10,
2022-05-21T00:00:00+03:00,NO,0.014
2022-05-21T00:00:00+03:00,NO2,0.036
2022-05-21T00:00:00+03:00,PM2.5,
2022-05-21T00:00:00+03:00,CO,0.3
2022-05-22T00:00:00+03:00,NO,0.001
2022-05-22T00:00:00+03:00,NO2,0.009
2022-05-22T00:00:00+03:00,CO,0.13
2022-05-22T00:00:00+03:00,PM10,
2022-05-22T00:00:00+03:00,PM2.5,
2022-05-23T00:00:00+03:00,NO,0.002
2022-05-23T00:00:00+03:00,CO,0.12
2022-05-23T00:00:00+03:00,PM10,
2022-05-23T00:00:00+03:00,PM2.5,
2022-05-23T00:00:00+03:00,NO2,0.019
2022-05-24T00:00:00+03:00,NO,0.002
2022-05-24T00:00:00+03:00,NO2,0.017
2022-05-24T00:00:00+03:00,PM10,
2022-05-24T00:00:00+03:00,PM2.5,
2022-05-24T00:00:00+03:00,CO,0.05
2022-05-25T00:00:00+03:00,PM10,
2022-05-25T00:00:00+03:00,PM2.5,
2022-05-25T00:00:00+03:00,NO,0.003
2022-05-25T00:00:00+03:00,NO2,0.019
2022-05-25T00:00:00+03:00,CO,0.04
2022-05-26T00:00:00+03:00,PM10,0.039
2022-05-26T00:00:00+03:00,NO2,0.032
2022-05-26T00:00:00+03:00,PM2.5,0.008
2022-05-26T00:00:00+03:00,CO,0.18
2022-05-26T00:00:00+03:00,NO,0.005
2022-05-27T00:00:00+03:00,NO2,0.023
2022-05-27T00:00:00+03:00,PM2.5,0.008
2022-05-27T00:00:00+03:00,NO,0.002
2022-05-27T00:00:00+03:00,CO,0.23
2022-05-27T00:00:00+03:00,PM10,0.013
2022-05-28T00:00:00+03:00,NO2,0.035
2022-05-28T00:00:00+03:00,PM10,0.016
2022-05-28T00:00:00+03:00,CO,0.21
2022-05-28T00:00:00+03:00,NO,0.007
2022-05-28T00:00:00+03:00,PM2.5,0.007
2022-05-29T00:00:00+03:00,CO,0.22
2022-05-29T00:00:00+03:00,NO,0.002
2022-05-29T00:00:00+03:00,PM2.5,0.005
2022-05-29T00:00:00+03:00,NO2,0.027
2022-05-29T00:00:00+03:00,PM10,0.015
2022-05-30T00:00:00+03:00,PM2.5,0.006
2022-05-30T00:00:00+03:00,CO,0.3
