datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.013
2021-07-01T00:00:00+03:00,PM10,0.029
2021-07-01T00:00:00+03:00,CO,0.48
2021-07-01T00:00:00+03:00,SO2,0.0018
2021-07-01T00:00:00+03:00,NO2,0.051
2021-07-01T00:00:00+03:00,NO,0.023
2021-08-01T00:00:00+03:00,CO,0.7
2021-08-01T00:00:00+03:00,NO,0.033
2021-08-01T00:00:00+03:00,SO2,0.0015
2021-08-01T00:00:00+03:00,PM2.5,0.016
2021-08-01T00:00:00+03:00,NO2,0.056
2021-08-01T00:00:00+03:00,PM10,0.033
2021-09-01T00:00:00+03:00,CO,0.56
2021-09-01T00:00:00+03:00,NO2,0.037
2021-09-01T00:00:00+03:00,SO2,0.0014
2021-09-01T00:00:00+03:00,NO,0.033
2021-09-01T00:00:00+03:00,PM10,0.025
2021-09-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,CO,0.48
2021-10-01T00:00:00+03:00,PM2.5,0.006
2021-10-01T00:00:00+03:00,PM10,0.026
2021-10-01T00:00:00+03:00,NO,0.029
2021-10-01T00:00:00+03:00,SO2,0.0017
2021-10-01T00:00:00+03:00,NO2,0.041
2021-11-01T00:00:00+03:00,CO,0.38
2021-11-01T00:00:00+03:00,PM2.5,0.006
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,PM10,0.025
2021-11-01T00:00:00+03:00,NO,0.027
2021-11-01T00:00:00+03:00,SO2,0.0013
2021-12-01T00:00:00+03:00,CO,0.44
2021-12-01T00:00:00+03:00,PM10,0.019
2021-12-01T00:00:00+03:00,PM2.5,0.007
2021-12-01T00:00:00+03:00,NO,0.05
2021-12-01T00:00:00+03:00,SO2,0.0016
2021-12-01T00:00:00+03:00,NO2,0.048
2022-01-01T00:00:00+03:00,NO,0.034
2022-01-01T00:00:00+03:00,NO2,0.051
2022-01-01T00:00:00+03:00,PM10,0.017
2022-01-01T00:00:00+03:00,PM2.5,0.006
2022-01-01T00:00:00+03:00,SO2,0.0014
2022-01-01T00:00:00+03:00,CO,0.35
2022-02-01T00:00:00+03:00,NO,0.026
2022-02-01T00:00:00+03:00,NO2,0.054
2022-02-01T00:00:00+03:00,CO,0.31
2022-02-01T00:00:00+03:00,PM10,0.022
2022-02-01T00:00:00+03:00,SO2,0.0014
2022-02-01T00:00:00+03:00,PM2.5,0.006
2022-03-01T00:00:00+03:00,NO2,0.072
2022-03-01T00:00:00+03:00,PM10,0.048
2022-03-01T00:00:00+03:00,PM2.5,0.007
2022-03-01T00:00:00+03:00,SO2,0.002
2022-03-01T00:00:00+03:00,NO,0.055
2022-03-01T00:00:00+03:00,CO,0.43
2022-04-01T00:00:00+03:00,CO,0.36
2022-04-01T00:00:00+03:00,PM10,0.037
2022-04-01T00:00:00+03:00,SO2,0.0017
2022-04-01T00:00:00+03:00,NO,0.03
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-04-01T00:00:00+03:00,NO2,0.063
2022-05-01T00:00:00+03:00,NO2,0.047
2022-05-01T00:00:00+03:00,CO,0.24
2022-05-01T00:00:00+03:00,PM2.5,0.004
2022-05-01T00:00:00+03:00,PM10,0.026
2022-05-01T00:00:00+03:00,SO2,0.0014
2022-05-01T00:00:00+03:00,NO,0.019
2022-06-01T00:00:00+03:00,NO,0.028
2022-06-01T00:00:00+03:00,PM2.5,0.006
2022-06-01T00:00:00+03:00,CO,0.27
2022-06-01T00:00:00+03:00,NO2,0.059
2022-06-01T00:00:00+03:00,PM10,0.029
2022-06-01T00:00:00+03:00,SO2,0.0019
2022-07-01T00:00:00+03:00,PM10,0.026
2022-07-01T00:00:00+03:00,NO2,0.054
2022-07-01T00:00:00+03:00,CO,0.32
2022-07-01T00:00:00+03:00,NO,0.024
2022-07-01T00:00:00+03:00,SO2,0.0019
2022-07-01T00:00:00+03:00,PM2.5,0.006
2022-08-01T00:00:00+03:00,PM2.5,0.011
2022-08-01T00:00:00+03:00,SO2,0.0031
2022-08-01T00:00:00+03:00,NO,0.043
2022-08-01T00:00:00+03:00,CO,0.55
2022-08-01T00:00:00+03:00,NO2,0.075
2022-08-01T00:00:00+03:00,PM10,0.047
2022-09-01T00:00:00+03:00,PM10,
2022-09-01T00:00:00+03:00,CO,0.42
2022-09-01T00:00:00+03:00,NO2,0.043
2022-09-01T00:00:00+03:00,SO2,0.0016
2022-09-01T00:00:00+03:00,NO,0.048
2022-09-01T00:00:00+03:00,PM2.5,0.005
2022-10-01T00:00:00+03:00,PM2.5,0.005
2022-10-01T00:00:00+03:00,NO,0.039
2022-10-01T00:00:00+03:00,NO2,0.045
2022-10-01T00:00:00+03:00,PM10,0.025
2022-10-01T00:00:00+03:00,CO,0.34
2022-10-01T00:00:00+03:00,SO2,0.0023
2022-11-01T00:00:00+03:00,SO2,0.0041
2022-11-01T00:00:00+03:00,CO,0.36
2022-11-01T00:00:00+03:00,NO2,0.042
2022-11-01T00:00:00+03:00,NO,0.049
2022-11-01T00:00:00+03:00,PM10,0.025
2022-11-01T00:00:00+03:00,PM2.5,0.006
2022-12-01T00:00:00+03:00,NO,0.101
2022-12-01T00:00:00+03:00,SO2,0.0025
2022-12-01T00:00:00+03:00,NO2,0.064
2022-12-01T00:00:00+03:00,PM10,0.023
2022-12-01T00:00:00+03:00,PM2.5,0.008
2022-12-01T00:00:00+03:00,CO,0.44
2023-01-01T00:00:00+03:00,PM2.5,0.006
2023-01-01T00:00:00+03:00,PM10,0.019
2023-01-01T00:00:00+03:00,NO,0.025
2023-01-01T00:00:00+03:00,NO2,0.038
2023-01-01T00:00:00+03:00,CO,0.35
2023-01-01T00:00:00+03:00,SO2,0.0004
2023-02-01T00:00:00+03:00,CO,0.35
2023-02-01T00:00:00+03:00,PM2.5,0.007
2023-02-01T00:00:00+03:00,NO,0.024
2023-02-01T00:00:00+03:00,NO2,0.046
2023-02-01T00:00:00+03:00,SO2,0.0005
2023-02-01T00:00:00+03:00,PM10,0.02
2023-03-01T00:00:00+03:00,NO,0.024
2023-03-01T00:00:00+03:00,SO2,0.0006
2023-03-01T00:00:00+03:00,PM2.5,0.005
2023-03-01T00:00:00+03:00,NO2,0.05
2023-03-01T00:00:00+03:00,PM10,0.028
2023-03-01T00:00:00+03:00,CO,0.37
2023-04-01T00:00:00+03:00,PM10,0.071
2023-04-01T00:00:00+03:00,CO,0.52
2023-04-01T00:00:00+03:00,NO,0.036
2023-04-01T00:00:00+03:00,PM2.5,0.009
2023-04-01T00:00:00+03:00,NO2,0.061
2023-04-01T00:00:00+03:00,SO2,0.0015
2023-05-01T00:00:00+03:00,NO2,
2023-05-01T00:00:00+03:00,CO,0.31
2023-05-01T00:00:00+03:00,NO,
2023-05-01T00:00:00+03:00,SO2,0.0009
2023-05-01T00:00:00+03:00,PM10,0.038
2023-05-01T00:00:00+03:00,PM2.5,0.006
2023-06-01T00:00:00+03:00,SO2,0.0015
2023-06-01T00:00:00+03:00,CO,0.41
2023-06-01T00:00:00+03:00,PM10,0.031
2023-06-01T00:00:00+03:00,NO2,0.05
2023-06-01T00:00:00+03:00,PM2.5,0.006
2023-06-01T00:00:00+03:00,NO,0.025
2023-07-01T00:00:00+03:00,SO2,0.001
2023-07-01T00:00:00+03:00,PM10,0.025
2023-07-01T00:00:00+03:00,PM2.5,0.005
2023-07-01T00:00:00+03:00,CO,0.36
2023-07-01T00:00:00+03:00,NO,0.014
2023-07-01T00:00:00+03:00,NO2,0.033
2023-08-01T00:00:00+03:00,PM10,0.034
2023-08-01T00:00:00+03:00,SO2,0.0012
2023-08-01T00:00:00+03:00,NO2,0.052
2023-08-01T00:00:00+03:00,PM2.5,0.007
2023-08-01T00:00:00+03:00,CO,0.56
2023-08-01T00:00:00+03:00,NO,0.029
2023-09-01T00:00:00+03:00,PM2.5,0.007
2023-09-01T00:00:00+03:00,CO,0.56
2023-09-01T00:00:00+03:00,PM10,0.038
2023-09-01T00:00:00+03:00,NO,0.031
2023-09-01T00:00:00+03:00,SO2,0.002
2023-09-01T00:00:00+03:00,NO2,0.054
2023-10-01T00:00:00+03:00,CO,0.4
2023-10-01T00:00:00+03:00,SO2,0.0009
2023-10-01T00:00:00+03:00,NO,0.028
2023-10-01T00:00:00+03:00,PM10,0.021
2023-10-01T00:00:00+03:00,PM2.5,0.004
2023-10-01T00:00:00+03:00,NO2,0.034
2023-11-01T00:00:00+03:00,CO,0.38
2023-11-01T00:00:00+03:00,SO2,0.0011
2023-11-01T00:00:00+03:00,NO,0.031
2023-11-01T00:00:00+03:00,PM2.5,0.006
2023-11-01T00:00:00+03:00,NO2,0.04
2023-11-01T00:00:00+03:00,PM10,0.029
2023-12-01T00:00:00+03:00,NO,0.036
2023-12-01T00:00:00+03:00,NO2,0.045
2023-12-01T00:00:00+03:00,SO2,0.0009
2023-12-01T00:00:00+03:00,PM2.5,0.006
2023-12-01T00:00:00+03:00,CO,0.39
2023-12-01T00:00:00+03:00,PM10,0.02
2024-01-01T00:00:00+03:00,PM10,0.021
2024-01-01T00:00:00+03:00,NO,0.035
2024-01-01T00:00:00+03:00,NO2,0.055
2024-01-01T00:00:00+03:00,CO,0.36
2024-01-01T00:00:00+03:00,PM2.5,0.007
2024-01-01T00:00:00+03:00,SO2,0.0013
2024-02-01T00:00:00+03:00,SO2,0.001
2024-02-01T00:00:00+03:00,PM2.5,0.007
2024-02-01T00:00:00+03:00,PM10,0.022
2024-02-01T00:00:00+03:00,NO,0.029
2024-02-01T00:00:00+03:00,CO,0.34
