datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.017
2022-05-13T00:00:00+03:00,PM2.5,0.006
2022-05-13T00:00:00+03:00,PM10,0.013
2022-05-13T00:00:00+03:00,SO2,0.0003
2022-05-13T00:00:00+03:00,CO,0.2
2022-05-13T00:00:00+03:00,NO,0.004
2022-05-13T00:00:00+03:00,OZ,0.0718
2022-05-14T00:00:00+03:00,CO,0.22
2022-05-14T00:00:00+03:00,NO,0.003
2022-05-14T00:00:00+03:00,PM2.5,0.006
2022-05-14T00:00:00+03:00,PM10,0.015
2022-05-14T00:00:00+03:00,SO2,0.0004
2022-05-14T00:00:00+03:00,NO2,0.02
2022-05-14T00:00:00+03:00,OZ,0.0684
2022-05-15T00:00:00+03:00,PM2.5,0.008
2022-05-15T00:00:00+03:00,OZ,0.0646
2022-05-15T00:00:00+03:00,CO,0.23
2022-05-15T00:00:00+03:00,NO2,0.025
2022-05-15T00:00:00+03:00,SO2,0.0004
2022-05-15T00:00:00+03:00,NO,0.004
2022-05-15T00:00:00+03:00,PM10,0.015
2022-05-16T00:00:00+03:00,CO,0.23
2022-05-16T00:00:00+03:00,NO2,0.021
2022-05-16T00:00:00+03:00,SO2,0.0005
2022-05-16T00:00:00+03:00,PM2.5,0.005
2022-05-16T00:00:00+03:00,OZ,0.0643
2022-05-16T00:00:00+03:00,PM10,0.015
2022-05-16T00:00:00+03:00,NO,0.008
2022-05-17T00:00:00+03:00,CO,0.29
2022-05-17T00:00:00+03:00,OZ,0.0359
2022-05-17T00:00:00+03:00,PM2.5,0.007
2022-05-17T00:00:00+03:00,NO2,0.027
2022-05-17T00:00:00+03:00,SO2,0.0005
2022-05-17T00:00:00+03:00,PM10,0.013
2022-05-17T00:00:00+03:00,NO,0.014
2022-05-18T00:00:00+03:00,OZ,0.0564
2022-05-18T00:00:00+03:00,CO,0.23
2022-05-18T00:00:00+03:00,SO2,0.0006
2022-05-18T00:00:00+03:00,NO,0.011
2022-05-18T00:00:00+03:00,NO2,0.02
2022-05-18T00:00:00+03:00,PM2.5,0.006
2022-05-18T00:00:00+03:00,PM10,0.014
2022-05-19T00:00:00+03:00,OZ,0.0447
2022-05-19T00:00:00+03:00,PM2.5,0.008
2022-05-19T00:00:00+03:00,NO2,0.033
2022-05-19T00:00:00+03:00,NO,0.011
2022-05-19T00:00:00+03:00,CO,0.28
2022-05-19T00:00:00+03:00,PM10,0.015
2022-05-19T00:00:00+03:00,SO2,0.0006
2022-05-20T00:00:00+03:00,NO2,0.027
2022-05-20T00:00:00+03:00,CO,0.31
2022-05-20T00:00:00+03:00,PM2.5,0.006
2022-05-20T00:00:00+03:00,OZ,0.0488
2022-05-20T00:00:00+03:00,NO,0.016
2022-05-20T00:00:00+03:00,PM10,0.016
2022-05-20T00:00:00+03:00,SO2,0.0007
2022-05-21T00:00:00+03:00,NO,0.02
2022-05-21T00:00:00+03:00,SO2,0.0023
2022-05-21T00:00:00+03:00,PM2.5,0.012
2022-05-21T00:00:00+03:00,NO2,0.046
2022-05-21T00:00:00+03:00,CO,0.33
2022-05-21T00:00:00+03:00,PM10,0.032
2022-05-21T00:00:00+03:00,OZ,0.0436
2022-05-22T00:00:00+03:00,NO2,0.013
2022-05-22T00:00:00+03:00,OZ,0.0764
2022-05-22T00:00:00+03:00,PM10,0.016
2022-05-22T00:00:00+03:00,SO2,0.0012
2022-05-22T00:00:00+03:00,PM2.5,0.006
2022-05-22T00:00:00+03:00,CO,0.17
2022-05-22T00:00:00+03:00,NO,0.008
2022-05-23T00:00:00+03:00,OZ,0.0647
2022-05-23T00:00:00+03:00,NO2,0.028
2022-05-23T00:00:00+03:00,NO,0.01
2022-05-23T00:00:00+03:00,CO,0.23
2022-05-23T00:00:00+03:00,PM10,0.02
2022-05-23T00:00:00+03:00,SO2,0.0009
2022-05-23T00:00:00+03:00,PM2.5,0.007
2022-05-24T00:00:00+03:00,SO2,0.0008
2022-05-24T00:00:00+03:00,PM2.5,0.008
2022-05-24T00:00:00+03:00,NO2,0.026
2022-05-24T00:00:00+03:00,NO,0.01
2022-05-24T00:00:00+03:00,OZ,0.0644
2022-05-24T00:00:00+03:00,CO,0.09
2022-05-24T00:00:00+03:00,PM10,0.019
2022-05-25T00:00:00+03:00,OZ,0.0395
2022-05-25T00:00:00+03:00,PM10,0.015
2022-05-25T00:00:00+03:00,SO2,0.0009
2022-05-25T00:00:00+03:00,CO,0.03
2022-05-25T00:00:00+03:00,PM2.5,0.007
2022-05-25T00:00:00+03:00,NO2,0.022
2022-05-25T00:00:00+03:00,NO,0.01
2022-05-26T00:00:00+03:00,PM2.5,0.009
2022-05-26T00:00:00+03:00,NO,0.01
2022-05-26T00:00:00+03:00,SO2,0.001
2022-05-26T00:00:00+03:00,CO,0.25
2022-05-26T00:00:00+03:00,PM10,0.022
2022-05-26T00:00:00+03:00,NO2,0.036
2022-05-26T00:00:00+03:00,OZ,0.0532
2022-05-27T00:00:00+03:00,PM2.5,0.006
2022-05-27T00:00:00+03:00,PM10,0.01
