datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.017
2022-05-13T00:00:00+03:00,PM2.5,0.006
2022-05-13T00:00:00+03:00,NO,0.003
2022-05-13T00:00:00+03:00,CO,0.16
2022-05-14T00:00:00+03:00,NO,0.002
2022-05-14T00:00:00+03:00,PM2.5,0.007
2022-05-14T00:00:00+03:00,NO2,0.017
2022-05-14T00:00:00+03:00,CO,0.11
2022-05-15T00:00:00+03:00,PM2.5,0.008
2022-05-15T00:00:00+03:00,NO,0.003
2022-05-15T00:00:00+03:00,NO2,0.023
2022-05-15T00:00:00+03:00,CO,0.14
2022-05-16T00:00:00+03:00,CO,0.09
2022-05-16T00:00:00+03:00,NO,0.003
2022-05-16T00:00:00+03:00,PM2.5,0.006
2022-05-16T00:00:00+03:00,NO2,0.016
2022-05-17T00:00:00+03:00,CO,0.17
2022-05-17T00:00:00+03:00,NO2,0.019
2022-05-17T00:00:00+03:00,NO,0.004
2022-05-17T00:00:00+03:00,PM2.5,0.008
2022-05-18T00:00:00+03:00,NO2,0.018
2022-05-18T00:00:00+03:00,PM2.5,0.007
2022-05-18T00:00:00+03:00,CO,0.11
2022-05-18T00:00:00+03:00,NO,0.004
2022-05-19T00:00:00+03:00,NO2,0.03
2022-05-19T00:00:00+03:00,PM2.5,0.009
2022-05-19T00:00:00+03:00,CO,0.13
2022-05-19T00:00:00+03:00,NO,0.005
2022-05-20T00:00:00+03:00,PM2.5,0.006
2022-05-20T00:00:00+03:00,CO,0.13
2022-05-20T00:00:00+03:00,NO2,0.025
2022-05-20T00:00:00+03:00,NO,0.007
2022-05-21T00:00:00+03:00,CO,0.23
2022-05-21T00:00:00+03:00,NO2,0.04
2022-05-21T00:00:00+03:00,PM2.5,0.011
2022-05-21T00:00:00+03:00,NO,0.011
2022-05-22T00:00:00+03:00,NO,0.002
2022-05-22T00:00:00+03:00,CO,0.11
2022-05-22T00:00:00+03:00,NO2,0.011
2022-05-22T00:00:00+03:00,PM2.5,0.006
2022-05-23T00:00:00+03:00,CO,0.13
2022-05-23T00:00:00+03:00,NO,0.003
2022-05-23T00:00:00+03:00,NO2,0.021
2022-05-23T00:00:00+03:00,PM2.5,0.01
2022-05-24T00:00:00+03:00,NO,0.009
2022-05-24T00:00:00+03:00,CO,0.12
2022-05-24T00:00:00+03:00,PM2.5,0.008
2022-05-24T00:00:00+03:00,NO2,0.026
2022-05-25T00:00:00+03:00,NO,0.008
2022-05-25T00:00:00+03:00,CO,0.16
2022-05-25T00:00:00+03:00,PM2.5,0.007
2022-05-25T00:00:00+03:00,NO2,0.021
2022-05-26T00:00:00+03:00,NO,0.006
2022-05-26T00:00:00+03:00,CO,0.24
2022-05-26T00:00:00+03:00,NO2,0.031
2022-05-26T00:00:00+03:00,PM2.5,0.008
2022-05-27T00:00:00+03:00,CO,0.19
2022-05-27T00:00:00+03:00,PM2.5,0.007
2022-05-27T00:00:00+03:00,NO,0.005
2022-05-27T00:00:00+03:00,NO2,0.028
2022-05-28T00:00:00+03:00,PM2.5,0.008
2022-05-28T00:00:00+03:00,NO,0.006
2022-05-28T00:00:00+03:00,CO,0.2
2022-05-28T00:00:00+03:00,NO2,0.033
2022-05-29T00:00:00+03:00,NO,0.005
2022-05-29T00:00:00+03:00,PM2.5,0.008
2022-05-29T00:00:00+03:00,CO,0.16
2022-05-29T00:00:00+03:00,NO2,0.028
2022-05-30T00:00:00+03:00,PM2.5,0.01
2022-05-30T00:00:00+03:00,NO,0.004
2022-05-30T00:00:00+03:00,CO,0.19
2022-05-30T00:00:00+03:00,NO2,0.041
2022-05-31T00:00:00+03:00,NO,0.01
2022-05-31T00:00:00+03:00,CO,0.33
2022-05-31T00:00:00+03:00,NO2,0.06
2022-05-31T00:00:00+03:00,PM2.5,0.014
2022-06-01T00:00:00+03:00,CO,0.32
2022-06-01T00:00:00+03:00,NO,0.012
2022-06-01T00:00:00+03:00,PM2.5,0.015
2022-06-01T00:00:00+03:00,NO2,0.046
2022-06-02T00:00:00+03:00,CO,0.22
2022-06-02T00:00:00+03:00,NO,0.004
2022-06-02T00:00:00+03:00,PM2.5,0.011
2022-06-02T00:00:00+03:00,NO2,0.032
2022-06-03T00:00:00+03:00,NO2,0.038
2022-06-03T00:00:00+03:00,PM2.5,0.011
2022-06-03T00:00:00+03:00,NO,0.005
2022-06-03T00:00:00+03:00,CO,0.25
2022-06-04T00:00:00+03:00,NO,0.005
2022-06-04T00:00:00+03:00,NO2,0.029
2022-06-04T00:00:00+03:00,PM2.5,0.009
2022-06-04T00:00:00+03:00,CO,0.17
2022-06-05T00:00:00+03:00,NO2,0.035
2022-06-05T00:00:00+03:00,PM2.5,0.016
2022-06-05T00:00:00+03:00,NO,0.036
2022-06-05T00:00:00+03:00,CO,0.37
2022-06-06T00:00:00+03:00,NO,0.006
2022-06-06T00:00:00+03:00,CO,0.15
2022-06-06T00:00:00+03:00,PM2.5,0.011
2022-06-06T00:00:00+03:00,NO2,0.03
2022-06-07T00:00:00+03:00,NO2,0.03
