datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,SO2,0.0015
2021-07-01T00:00:00+03:00,PM2.5,0.016
2021-07-01T00:00:00+03:00,C6H6 (бензол),0.007
2021-07-01T00:00:00+03:00,OZ,0.0205
2021-07-01T00:00:00+03:00,NO2,0.052
2021-07-01T00:00:00+03:00,C6H5OH (фенол),0.0008
2021-07-01T00:00:00+03:00,CH2O (формальдегид),0.0062
2021-07-01T00:00:00+03:00,CO,0.51
2021-07-01T00:00:00+03:00,NO,0.042
2021-08-01T00:00:00+03:00,PM2.5,0.018
2021-08-01T00:00:00+03:00,OZ,0.0114
2021-08-01T00:00:00+03:00,SO2,0.0021
2021-08-01T00:00:00+03:00,CH2O (формальдегид),0.0033
2021-08-01T00:00:00+03:00,NO2,0.056
2021-08-01T00:00:00+03:00,C6H6 (бензол),0.008
2021-08-01T00:00:00+03:00,CO,0.65
2021-08-01T00:00:00+03:00,NO,0.054
2021-08-01T00:00:00+03:00,C6H5OH (фенол),0.0005
2021-09-01T00:00:00+03:00,CO,0.52
2021-09-01T00:00:00+03:00,OZ,0.0052
2021-09-01T00:00:00+03:00,NO,0.047
2021-09-01T00:00:00+03:00,C6H5OH (фенол),0.0006
2021-09-01T00:00:00+03:00,C6H6 (бензол),0.005
2021-09-01T00:00:00+03:00,NO2,0.038
2021-09-01T00:00:00+03:00,SO2,0.0012
2021-09-01T00:00:00+03:00,CH2O (формальдегид),0.0023
2021-09-01T00:00:00+03:00,PM2.5,0.011
2021-10-01T00:00:00+03:00,C6H5OH (фенол),0.0005
2021-10-01T00:00:00+03:00,NO,0.092
2021-10-01T00:00:00+03:00,C6H6 (бензол),0.007
2021-10-01T00:00:00+03:00,CO,0.64
2021-10-01T00:00:00+03:00,NO2,0.052
2021-10-01T00:00:00+03:00,OZ,0.0128
2021-10-01T00:00:00+03:00,CH2O (формальдегид),0.0008
2021-10-01T00:00:00+03:00,SO2,0.0015
2021-10-01T00:00:00+03:00,PM2.5,0.016
2021-11-01T00:00:00+03:00,PM2.5,0.011
2021-11-01T00:00:00+03:00,CH2O (формальдегид),
2021-11-01T00:00:00+03:00,OZ,
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,C6H6 (бензол),
2021-11-01T00:00:00+03:00,SO2,
2021-11-01T00:00:00+03:00,NO,0.048
2021-11-01T00:00:00+03:00,CO,0.42
2021-11-01T00:00:00+03:00,C6H5OH (фенол),
2021-12-01T00:00:00+03:00,NO2,0.045
2021-12-01T00:00:00+03:00,CO,0.47
2021-12-01T00:00:00+03:00,PM2.5,0.012
2021-12-01T00:00:00+03:00,SO2,0.0028
2021-12-01T00:00:00+03:00,C6H6 (бензол),0.002
2021-12-01T00:00:00+03:00,NO,0.071
2021-12-01T00:00:00+03:00,C6H5OH (фенол),0.0004
2021-12-01T00:00:00+03:00,CH2O (формальдегид),
2021-12-01T00:00:00+03:00,OZ,0.0037
2022-01-01T00:00:00+03:00,PM2.5,0.011
2022-01-01T00:00:00+03:00,CO,0.39
2022-01-01T00:00:00+03:00,CH2O (формальдегид),
2022-01-01T00:00:00+03:00,NO,0.049
2022-01-01T00:00:00+03:00,SO2,0.0011
2022-01-01T00:00:00+03:00,NO2,0.046
2022-01-01T00:00:00+03:00,C6H5OH (фенол),0.0003
2022-01-01T00:00:00+03:00,C6H6 (бензол),0.003
2022-01-01T00:00:00+03:00,OZ,0.0076
2022-02-01T00:00:00+03:00,PM2.5,0.011
2022-02-01T00:00:00+03:00,C6H5OH (фенол),
2022-02-01T00:00:00+03:00,CH2O (формальдегид),
2022-02-01T00:00:00+03:00,OZ,
2022-02-01T00:00:00+03:00,SO2,
2022-02-01T00:00:00+03:00,NO,0.058
2022-02-01T00:00:00+03:00,NO2,0.053
2022-02-01T00:00:00+03:00,C6H6 (бензол),
2022-02-01T00:00:00+03:00,CO,0.95
2022-03-01T00:00:00+03:00,NO,0.076
2022-03-01T00:00:00+03:00,SO2,
2022-03-01T00:00:00+03:00,PM2.5,0.013
2022-03-01T00:00:00+03:00,C6H5OH (фенол),
2022-03-01T00:00:00+03:00,CH2O (формальдегид),
2022-03-01T00:00:00+03:00,OZ,
2022-03-01T00:00:00+03:00,C6H6 (бензол),
2022-03-01T00:00:00+03:00,CO,0.71
2022-03-01T00:00:00+03:00,NO2,0.058
2022-04-01T00:00:00+03:00,PM2.5,0.01
2022-04-01T00:00:00+03:00,C6H5OH (фенол),0.0008
2022-04-01T00:00:00+03:00,CH2O (формальдегид),0.0043
2022-04-01T00:00:00+03:00,NO,0.039
2022-04-01T00:00:00+03:00,CO,0.59
2022-04-01T00:00:00+03:00,NO2,0.05
2022-04-01T00:00:00+03:00,SO2,0.001
2022-04-01T00:00:00+03:00,C6H6 (бензол),0.003
2022-04-01T00:00:00+03:00,OZ,0.0323
2022-05-01T00:00:00+03:00,NO2,0.046
2022-05-01T00:00:00+03:00,NO,0.033
2022-05-01T00:00:00+03:00,CH2O (формальдегид),0.0043
2022-05-01T00:00:00+03:00,SO2,0.001
2022-05-01T00:00:00+03:00,CO,0.36
2022-05-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-05-01T00:00:00+03:00,OZ,0.0315
2022-05-01T00:00:00+03:00,PM2.5,0.01
2022-05-01T00:00:00+03:00,C6H5OH (фенол),0.0011
2022-06-01T00:00:00+03:00,CH2O (формальдегид),0.0064
2022-06-01T00:00:00+03:00,C6H5OH (фенол),0.0013
2022-06-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-06-01T00:00:00+03:00,CO,0.51
2022-06-01T00:00:00+03:00,NO2,0.051
2022-06-01T00:00:00+03:00,NO,0.054
2022-06-01T00:00:00+03:00,SO2,0.0013
2022-06-01T00:00:00+03:00,OZ,0.0255
2022-06-01T00:00:00+03:00,PM2.5,0.017
2022-07-01T00:00:00+03:00,NO2,0.049
2022-07-01T00:00:00+03:00,OZ,0.024
2022-07-01T00:00:00+03:00,PM2.5,0.014
2022-07-01T00:00:00+03:00,CO,0.51
2022-07-01T00:00:00+03:00,NO,0.044
2022-07-01T00:00:00+03:00,SO2,0.0014
2022-07-01T00:00:00+03:00,C6H5OH (фенол),0.0013
2022-07-01T00:00:00+03:00,CH2O (формальдегид),0.0074
2022-07-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-08-01T00:00:00+03:00,NO,0.072
2022-08-01T00:00:00+03:00,SO2,0.0031
2022-08-01T00:00:00+03:00,C6H5OH (фенол),0.0012
2022-08-01T00:00:00+03:00,CO,0.8
2022-08-01T00:00:00+03:00,CH2O (формальдегид),0.0063
2022-08-01T00:00:00+03:00,NO2,0.066
2022-08-01T00:00:00+03:00,OZ,0.0224
2022-08-01T00:00:00+03:00,C6H6 (бензол),0.004
2022-08-01T00:00:00+03:00,PM2.5,0.024
2022-09-01T00:00:00+03:00,CO,0.49
2022-09-01T00:00:00+03:00,NO2,0.039
2022-09-01T00:00:00+03:00,OZ,0.0075
2022-09-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-09-01T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-09-01T00:00:00+03:00,PM2.5,0.01
2022-09-01T00:00:00+03:00,CH2O (формальдегид),0.0018
2022-09-01T00:00:00+03:00,NO,0.064
2022-09-01T00:00:00+03:00,SO2,0.0012
2022-10-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-10-01T00:00:00+03:00,PM2.5,0.011
2022-10-01T00:00:00+03:00,CH2O (формальдегид),0.0023
2022-10-01T00:00:00+03:00,SO2,0.001
2022-10-01T00:00:00+03:00,C6H5OH (фенол),0.0009
2022-10-01T00:00:00+03:00,NO2,0.042
2022-10-01T00:00:00+03:00,CO,0.48
2022-10-01T00:00:00+03:00,NO,0.062
2022-10-01T00:00:00+03:00,OZ,0.0212
2022-11-01T00:00:00+03:00,OZ,0.0149
2022-11-01T00:00:00+03:00,CO,0.36
2022-11-01T00:00:00+03:00,NO,0.047
2022-11-01T00:00:00+03:00,NO2,0.04
2022-11-01T00:00:00+03:00,C6H5OH (фенол),0.0018
2022-11-01T00:00:00+03:00,PM2.5,0.011
2022-11-01T00:00:00+03:00,C6H6 (бензол),0.003
2022-11-01T00:00:00+03:00,SO2,0.0015
2022-11-01T00:00:00+03:00,CH2O (формальдегид),0.0026
2022-12-01T00:00:00+03:00,SO2,0.0019
2022-12-01T00:00:00+03:00,NO,0.079
2022-12-01T00:00:00+03:00,CO,0.52
2022-12-01T00:00:00+03:00,NO2,0.049
2022-12-01T00:00:00+03:00,PM2.5,0.013
2022-12-01T00:00:00+03:00,C6H6 (бензол),0.003
2022-12-01T00:00:00+03:00,OZ,0.0188
2022-12-01T00:00:00+03:00,CH2O (формальдегид),0.0042
2022-12-01T00:00:00+03:00,C6H5OH (фенол),0.001
2023-01-01T00:00:00+03:00,C6H6 (бензол),
2023-01-01T00:00:00+03:00,SO2,
2023-01-01T00:00:00+03:00,OZ,
2023-01-01T00:00:00+03:00,PM2.5,0.011
2023-01-01T00:00:00+03:00,C6H5OH (фенол),
2023-01-01T00:00:00+03:00,CH2O (формальдегид),
2023-01-01T00:00:00+03:00,NO2,0.044
2023-01-01T00:00:00+03:00,CO,0.43
2023-01-01T00:00:00+03:00,NO,0.05
2023-02-01T00:00:00+03:00,PM2.5,0.012
2023-02-01T00:00:00+03:00,CH2O (формальдегид),
2023-02-01T00:00:00+03:00,CO,0.41
2023-02-01T00:00:00+03:00,NO2,0.046
2023-02-01T00:00:00+03:00,OZ,
2023-02-01T00:00:00+03:00,SO2,
2023-02-01T00:00:00+03:00,C6H5OH (фенол),
2023-02-01T00:00:00+03:00,C6H6 (бензол),
2023-02-01T00:00:00+03:00,NO,0.043
2023-03-01T00:00:00+03:00,SO2,
2023-03-01T00:00:00+03:00,PM2.5,0.01
2023-03-01T00:00:00+03:00,NO2,0.061
2023-03-01T00:00:00+03:00,CH2O (формальдегид),
2023-03-01T00:00:00+03:00,C6H6 (бензол),
2023-03-01T00:00:00+03:00,OZ,
2023-03-01T00:00:00+03:00,NO,0.065
2023-03-01T00:00:00+03:00,CO,0.47
2023-03-01T00:00:00+03:00,C6H5OH (фенол),
