datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.021
2022-05-13T00:00:00+03:00,OZ,0.0596
2022-05-13T00:00:00+03:00,CO,0.09
2022-05-13T00:00:00+03:00,NO,0.003
2022-05-14T00:00:00+03:00,NO2,0.026
2022-05-14T00:00:00+03:00,NO,0.003
2022-05-14T00:00:00+03:00,OZ,0.0538
2022-05-14T00:00:00+03:00,CO,0.05
2022-05-15T00:00:00+03:00,NO2,0.026
2022-05-15T00:00:00+03:00,CO,0.08
2022-05-15T00:00:00+03:00,NO,0.004
2022-05-15T00:00:00+03:00,OZ,0.0488
2022-05-16T00:00:00+03:00,NO2,0.018
2022-05-16T00:00:00+03:00,NO,0.002
2022-05-16T00:00:00+03:00,CO,0.02
2022-05-16T00:00:00+03:00,OZ,0.059
2022-05-17T00:00:00+03:00,CO,0.01
2022-05-17T00:00:00+03:00,OZ,0.0291
2022-05-17T00:00:00+03:00,NO2,0.018
2022-05-17T00:00:00+03:00,NO,0.003
2022-05-18T00:00:00+03:00,OZ,0.0451
2022-05-18T00:00:00+03:00,NO2,0.016
2022-05-18T00:00:00+03:00,NO,0.003
2022-05-18T00:00:00+03:00,CO,0.01
2022-05-19T00:00:00+03:00,NO2,0.025
2022-05-19T00:00:00+03:00,OZ,0.0342
2022-05-19T00:00:00+03:00,NO,0.004
2022-05-19T00:00:00+03:00,CO,0.11
2022-05-20T00:00:00+03:00,CO,0.05
2022-05-20T00:00:00+03:00,NO2,0.016
2022-05-20T00:00:00+03:00,OZ,0.0438
2022-05-20T00:00:00+03:00,NO,0.003
2022-05-21T00:00:00+03:00,CO,0.14
2022-05-21T00:00:00+03:00,OZ,0.0371
2022-05-21T00:00:00+03:00,NO,0.007
2022-05-21T00:00:00+03:00,NO2,0.027
2022-05-22T00:00:00+03:00,CO,0
2022-05-22T00:00:00+03:00,NO2,0.009
2022-05-22T00:00:00+03:00,NO,0.002
2022-05-22T00:00:00+03:00,OZ,0.0742
2022-05-23T00:00:00+03:00,OZ,0.0613
2022-05-23T00:00:00+03:00,NO2,0.018
2022-05-23T00:00:00+03:00,NO,0.003
2022-05-23T00:00:00+03:00,CO,0.05
2022-05-24T00:00:00+03:00,NO2,0.018
2022-05-24T00:00:00+03:00,NO,0.002
2022-05-24T00:00:00+03:00,OZ,0.0597
2022-05-24T00:00:00+03:00,CO,0.01
2022-05-25T00:00:00+03:00,NO,0.003
2022-05-25T00:00:00+03:00,CO,0.04
2022-05-25T00:00:00+03:00,OZ,0.0326
2022-05-25T00:00:00+03:00,NO2,0.018
2022-05-26T00:00:00+03:00,OZ,0.0445
2022-05-26T00:00:00+03:00,NO2,0.029
2022-05-26T00:00:00+03:00,NO,0.004
2022-05-26T00:00:00+03:00,CO,0.16
2022-05-27T00:00:00+03:00,CO,0.08
2022-05-27T00:00:00+03:00,OZ,0.0363
2022-05-27T00:00:00+03:00,NO2,0.025
2022-05-27T00:00:00+03:00,NO,0.003
2022-05-28T00:00:00+03:00,CO,0.13
2022-05-28T00:00:00+03:00,NO,0.006
2022-05-28T00:00:00+03:00,OZ,0.0179
2022-05-28T00:00:00+03:00,NO2,0.024
2022-05-29T00:00:00+03:00,NO,0.005
2022-05-29T00:00:00+03:00,NO2,0.018
2022-05-29T00:00:00+03:00,OZ,0.0313
2022-05-29T00:00:00+03:00,CO,0.15
2022-05-30T00:00:00+03:00,NO2,0.025
2022-05-30T00:00:00+03:00,OZ,0.0408
2022-05-30T00:00:00+03:00,NO,0.009
2022-05-30T00:00:00+03:00,CO,0.17
2022-05-31T00:00:00+03:00,OZ,0.0094
2022-05-31T00:00:00+03:00,NO2,0.025
2022-05-31T00:00:00+03:00,NO,0.006
2022-05-31T00:00:00+03:00,CO,0.16
2022-06-01T00:00:00+03:00,CO,0.17
