datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,SO2,0.0022
2021-07-01T00:00:00+03:00,PM10,0.046
2021-07-01T00:00:00+03:00,NO2,0.052
2021-07-01T00:00:00+03:00,CO,0.45
2021-07-01T00:00:00+03:00,NO,0.035
2021-08-01T00:00:00+03:00,NO2,0.056
2021-08-01T00:00:00+03:00,PM10,0.046
2021-08-01T00:00:00+03:00,SO2,0.0042
2021-08-01T00:00:00+03:00,CO,0.55
2021-08-01T00:00:00+03:00,NO,0.038
2021-09-01T00:00:00+03:00,PM10,0.029
2021-09-01T00:00:00+03:00,NO2,0.039
2021-09-01T00:00:00+03:00,NO,0.035
2021-09-01T00:00:00+03:00,CO,0.43
2021-09-01T00:00:00+03:00,SO2,0.0033
2021-10-01T00:00:00+03:00,NO2,0.052
2021-10-01T00:00:00+03:00,NO,0.072
2021-10-01T00:00:00+03:00,CO,0.51
2021-10-01T00:00:00+03:00,PM10,0.051
2021-10-01T00:00:00+03:00,SO2,0.0033
2021-11-01T00:00:00+03:00,NO,0.025
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,CO,0.36
2021-11-01T00:00:00+03:00,SO2,0.0015
2021-11-01T00:00:00+03:00,PM10,0.027
2021-12-01T00:00:00+03:00,CO,0.35
2021-12-01T00:00:00+03:00,PM10,0.018
2021-12-01T00:00:00+03:00,SO2,0.0013
2021-12-01T00:00:00+03:00,NO,0.043
2021-12-01T00:00:00+03:00,NO2,0.048
2022-01-01T00:00:00+03:00,NO,0.027
2022-01-01T00:00:00+03:00,CO,0.3
2022-01-01T00:00:00+03:00,NO2,0.049
2022-01-01T00:00:00+03:00,PM10,0.016
2022-01-01T00:00:00+03:00,SO2,0.0021
2022-02-01T00:00:00+03:00,NO,0.025
2022-02-01T00:00:00+03:00,PM10,0.024
2022-02-01T00:00:00+03:00,NO2,0.053
2022-02-01T00:00:00+03:00,SO2,0.0021
2022-02-01T00:00:00+03:00,CO,0.28
2022-03-01T00:00:00+03:00,SO2,0.0044
2022-03-01T00:00:00+03:00,CO,0.5
2022-03-01T00:00:00+03:00,NO,0.092
2022-03-01T00:00:00+03:00,PM10,0.08
2022-03-01T00:00:00+03:00,NO2,0.075
2022-04-01T00:00:00+03:00,CO,0.35
2022-04-01T00:00:00+03:00,NO,0.026
2022-04-01T00:00:00+03:00,SO2,0.0027
2022-04-01T00:00:00+03:00,PM10,0.042
