datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.24
2021-07-01T00:00:00+03:00,NO,0.009
2021-07-01T00:00:00+03:00,NO2,0.02
2021-07-01T00:00:00+03:00,PM10,0.03
2021-07-01T00:00:00+03:00,PM2.5,0.009
2021-08-01T00:00:00+03:00,PM10,0.03
2021-08-01T00:00:00+03:00,CO,0.28
2021-08-01T00:00:00+03:00,NO,0.018
2021-08-01T00:00:00+03:00,PM2.5,0.011
2021-08-01T00:00:00+03:00,NO2,0.031
2021-09-01T00:00:00+03:00,CO,0.3
2021-09-01T00:00:00+03:00,PM10,0.017
2021-09-01T00:00:00+03:00,PM2.5,0.006
2021-09-01T00:00:00+03:00,NO,0.034
2021-09-01T00:00:00+03:00,NO2,0.03
2021-10-01T00:00:00+03:00,PM10,0.027
2021-10-01T00:00:00+03:00,PM2.5,0.01
2021-10-01T00:00:00+03:00,CO,0.44
2021-10-01T00:00:00+03:00,NO2,0.034
2021-10-01T00:00:00+03:00,NO,0.04
2021-11-01T00:00:00+03:00,NO,0.02
2021-11-01T00:00:00+03:00,PM10,0.017
2021-11-01T00:00:00+03:00,PM2.5,0.006
2021-11-01T00:00:00+03:00,NO2,0.03
2021-11-01T00:00:00+03:00,CO,0.4
2021-12-01T00:00:00+03:00,CO,0.44
2021-12-01T00:00:00+03:00,NO,0.036
2021-12-01T00:00:00+03:00,PM2.5,0.007
2021-12-01T00:00:00+03:00,PM10,0.01
2021-12-01T00:00:00+03:00,NO2,0.04
2022-01-01T00:00:00+03:00,NO,0.023
2022-01-01T00:00:00+03:00,NO2,0.042
2022-01-01T00:00:00+03:00,PM2.5,0.007
2022-01-01T00:00:00+03:00,CO,0.4
2022-01-01T00:00:00+03:00,PM10,0.01
2022-02-01T00:00:00+03:00,NO,0.025
2022-02-01T00:00:00+03:00,PM10,0.013
2022-02-01T00:00:00+03:00,CO,0.51
2022-02-01T00:00:00+03:00,NO2,0.045
2022-02-01T00:00:00+03:00,PM2.5,0.007
2022-03-01T00:00:00+03:00,NO,0.072
2022-03-01T00:00:00+03:00,NO2,0.067
2022-03-01T00:00:00+03:00,PM10,0.048
2022-03-01T00:00:00+03:00,CO,0.62
2022-03-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,NO,0.023
2022-04-01T00:00:00+03:00,CO,0.43
2022-04-01T00:00:00+03:00,NO2,0.044
2022-04-01T00:00:00+03:00,PM10,0.027
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,PM10,0.025
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,CO,0.34
2022-05-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,NO,0.019
2022-06-01T00:00:00+03:00,PM10,0.013
2022-06-01T00:00:00+03:00,CO,0.28
2022-06-01T00:00:00+03:00,NO,0.034
2022-06-01T00:00:00+03:00,PM2.5,0.012
2022-06-01T00:00:00+03:00,NO2,0.042
2022-07-01T00:00:00+03:00,PM10,0.012
2022-07-01T00:00:00+03:00,PM2.5,0.011
2022-07-01T00:00:00+03:00,NO2,0.051
2022-07-01T00:00:00+03:00,NO,0.038
2022-08-01T00:00:00+03:00,PM10,0.032
2022-08-01T00:00:00+03:00,PM2.5,0.02
2022-08-01T00:00:00+03:00,NO2,0.054
2022-08-01T00:00:00+03:00,NO,0.055
2022-09-01T00:00:00+03:00,PM2.5,0.005
2022-09-01T00:00:00+03:00,PM10,0.005
2022-09-01T00:00:00+03:00,NO,0.043
2022-09-01T00:00:00+03:00,NO2,0.031
2022-10-01T00:00:00+03:00,PM2.5,0.005
2022-10-01T00:00:00+03:00,NO2,0.036
2022-10-01T00:00:00+03:00,PM10,0.005
2022-10-01T00:00:00+03:00,NO,0.043
2022-11-01T00:00:00+03:00,NO,0.04
2022-11-01T00:00:00+03:00,PM2.5,0.007
2022-11-01T00:00:00+03:00,PM10,0.017
2022-11-01T00:00:00+03:00,NO2,0.036
